No.,企業名,カテゴリ,運営会社,設立年,本社所在地,代表電話,問い合わせ先,公式URL,店舗数,主要サービス,営業状況,備考
126,麻布ハリーク,美容鍼灸,Do Oriented株式会社,2009年(創業),東京都港区(要確認),要確認,要確認,https://harieq.com/,複数院,美容鍼,営業中,東京ラグジュアリーガイド100
127,フレーバーライフ社,アロマメーカー,株式会社フレーバーライフ社,1996年,東京都国分寺市本町4-1-12,042-323-2677,0120-907-187,https://www.flavorlife.co.jp/,本社,精油・アロマ製造卸,営業中,アロマ専門メーカー
128,グリーンフラスコ,アロマ・ハーブ,グリーンフラスコ株式会社,1995年(要確認),東京都世田谷区(要確認),要確認,要確認,http://www.greenflask.com/,本社,植物療法・アロマ,営業中,緑の医学
129,ハーバー研究所,化粧品メーカー,株式会社ハーバー研究所,1983年5月,東京都千代田区神田須田町1-24-11 HABAビル,要確認,要確認,https://www.haba.co.jp/,本社,無添加化粧品・健康食品,営業中,東証スタンダード4925
130,新日本製薬,化粧品・通販メーカー,新日本製薬株式会社,1992年3月,福岡県福岡市中央区大手門1-4-7,092-720-5800,要確認,https://corporate.shinnihonseiyaku.co.jp/,本社,パーフェクトワン等通販化粧品,営業中,東証プライム4931
131,カバーマーク,化粧品メーカー,カバーマーク株式会社,2001年,大阪府大阪市北区豊崎3-19-3 ピアスタワー,06-6376-5511,要確認,https://www.covermark.co.jp/,本社,カバーファンデ・化粧品,営業中,ピアスグループ
132,銀座よしえクリニック,美容皮膚科,医療法人社団優恵会,2003年(要確認),東京都中央区銀座(要確認),要確認,要確認,https://www.ginzabiyou.com/,複数院,美容皮膚科,営業中,皮膚科系美容
133,表参道スキンクリニック,美容外科・美容皮膚科,医療法人青貴会,要確認,東京都渋谷区(要確認),要確認,要確認,https://omotesando-skin.jp/,東京・名古屋・大阪,美容外科・美容皮膚科,営業中,複数院展開
134,メディロム(Re.Ra.Ku),リラクゼーション,株式会社メディロム,2000年7月,東京都港区台場2-3-1 トレードピアお台場16F,03-6721-7364,要確認,https://medirom.co.jp/,300店舗以上,リラクゼーション,営業中,NASDAQ上場
135,マックス(石鹸),化粧品・石鹸メーカー,株式会社マックス,1905年(創業),大阪府大阪市東成区(要確認),要確認,要確認,https://www.soapmax.co.jp/,本社,石鹸・入浴剤・スキンケア,営業中,明治創業の老舗
136,黒ばら本舗,化粧品メーカー,株式会社黒ばら本舗,1923年(創業),東京都墨田区本所2-17-7,03-3625-0040,要確認,https://kurobara.co.jp/,本社,椿油・ヘアケア,営業中,黒髪用椿油
137,シャボン玉石けん,石鹸メーカー,シャボン玉石けん株式会社,1949年(法人),福岡県北九州市若松区南二島2-23-1,093-701-3181,要確認,https://www.shabon.com/,本社,無添加石鹸,営業中,無添加石鹸大手
138,ペリカン石鹸,化粧品・石鹸メーカー,株式会社ペリカン石鹸,1947年(創業),東京都港区(要確認),要確認,要確認,https://www.pelicansoap.co.jp/,本社,石鹸・化粧品,営業中,ロングセラー石鹸
139,pdc,化粧品メーカー,株式会社pdc,1992年11月,東京都港区南麻布4-2-34,03-5739-0822,要確認,https://www.p-dc.com/,本社,スキンケア(ワフードメイド等),営業中,プチプラ
140,アデランス,毛髪・ウィッグメーカー,株式会社アデランス,1968年,東京都新宿区(要確認),要確認,要確認,https://www.aderans.co.jp/,全国展開,毛髪製品・育毛,営業中,総合毛髪大手
141,アートネイチャー,毛髪・ウィッグメーカー,株式会社アートネイチャー,1965年(要確認),東京都渋谷区(要確認),要確認,要確認,https://corp.artnature.co.jp/,全国展開,毛髪製品・育毛,営業中,東証プライム・毛髪大手
142,キレイサローネ,痩身エステ,株式会社(運営要確認),要確認,東京都中央区銀座3-8-12 大広朝日ビル7F,03-3561-1255,要確認,https://kireisalone.jp/,銀座・新宿・池袋等,定額制痩身エステ,営業中,痩身定額制
143,ヴィトゥレ,痩身・脱毛エステ,株式会社PBマーケティング,2004年(創業),東京都渋谷区宇田川町19-5-405,要確認,要確認,https://www.vitule.jp/,自由が丘・恵比寿等,痩身・脱毛エステ,営業中,創業20年
144,コタ,ヘア化粧品メーカー,コタ株式会社,1947年(創業),京都府久世郡久御山町田井新荒見77,0774-44-1681,要確認,https://www.cota.co.jp/,本社,サロン専売ヘア化粧品,営業中,東証プライム4923
145,ニューウェイジャパン,ヘア化粧品メーカー,ニューウェイジャパン株式会社,1988年5月,東京都港区芝1-5-11,03-3455-5103,要確認,https://www.newayjapan.com/,本社,サロン専売ヘアケア,営業中,ナノテクヘアケア
146,ハホニコ,ヘア化粧品メーカー,株式会社ハホニコ,1991年(要確認),大阪府高槻市(要確認),要確認,要確認,https://hahonico.com/,本社,髪質改善ヘア化粧品,営業中,髪質改善パイオニア
147,自由が丘クリニック,美容クリニック,医療法人社団喜美会,1983年(要確認),東京都目黒区自由が丘(要確認),要確認,要確認,https://jiyugaokaclinic.com/,複数院,美容外科・美容皮膚科,営業中,老舗・ドクターズコスメも展開
148,ガーデンクリニック,美容クリニック,ガーデンクリニック(GMOビューティー系),1999年(要確認),東京都(要確認),0800-813-9290,要確認,https://www.garden-senbi.jp/,全国10院,美容外科・美容皮膚科,営業中,全国展開
149,DMMオンラインクリニック,IT・オンライン診療,合同会社DMM.com,2022年(サービス),東京都港区六本木(要確認),要確認,要確認,https://clinic.dmm.com/,オンライン,オンライン美容・診療,営業中,DMMグループ
150,モイセ,美容機器メーカー,株式会社モイセ,要確認,東京都北区志茂2-59-20 USビル3F,要確認,要確認,https://moise.co.jp/,本社+工場,業務用・家庭用美容機器,営業中,自社一貫製造
151,テクノリンク,美容機器メーカー,テクノリンク株式会社,1985年(要確認),東京都(要確認),要確認,要確認,https://www.technolink-sm.co.jp/,本社,業務用美容・物理療法機器,営業中,セラピムボディー
152,タカラ美容専門学校,美容教育,学校法人タカラ学園,1953年(要確認),東京都港区虎ノ門4-2-3 虎ノ門トーセイビル4F,03-3403-7779,要確認,https://takara.ac.jp/,本校,美容師養成,営業中,美容専門学校
153,山野学苑,美容教育,学校法人山野学苑,1936年(創立),東京都渋谷区代々木1-53-1,要確認,要確認,https://www.yamano.jp/,本部,美容教育・短大,営業中,ヤマノHD
154,ジャパンギャルズ,化粧品メーカー,株式会社ジャパンギャルズ,要確認,愛媛県四国中央市三島中央2-12-10,03-5348-8655,要確認,https://japangals.jp/,本社+東京/高松,シートマスク・化粧品,営業中,プチプラコスメ
155,ヴィークレア,化粧品メーカー,株式会社ヴィークレア,要確認,東京都(要確認),要確認,要確認,https://www.vicrea.jp/,本社,化粧品企画製造,営業中,Promille等
156,High Link(カラリア),IT・BeautyTech,株式会社High Link,2017年6月,東京都品川区西五反田1-18-9,050-5526-3912,要確認,https://high-link.co.jp/,本社,香りサブスク・プラットフォーム,営業中,カラリア運営
157,オッペン化粧品,化粧品メーカー(訪販),オッペン化粧品株式会社,1957年11月,大阪府吹田市岸部南2-17-1,06-6382-9100,要確認,https://www.oppen.co.jp/,本社,訪販化粧品,営業中,訪問販売
158,ピアス,化粧品メーカー(持株),ピアス株式会社,1947年(創業),大阪府大阪市北区豊崎3-19-3,要確認,要確認,https://www.pias.co.jp/,本社,化粧品グループ,営業中,イミュ/カバーマーク/アクセーヌ
159,シャルレ,化粧品メーカー(訪販),株式会社シャルレ,1975年(要確認),兵庫県神戸市中央区(要確認),要確認,要確認,https://www.charle.co.jp/,本社,訪販化粧品・インナー,営業中,訪問販売
160,サティス製薬,化粧品OEM,株式会社サティス製薬,1991年(要確認),埼玉県吉川市(要確認),要確認,要確認,https://www.saticine-md.co.jp/,本社+工場,基礎化粧品OEM,営業中,通販系OEMに強み
161,日本色材工業研究所,化粧品OEM,株式会社日本色材工業研究所,1944年(要確認),東京都港区三田5-3-13,03-3456-0561,要確認,https://shikizai.com/,本社,メイクアップODM/OEM,営業中,名証上場
162,品川スキンクリニック,美容皮膚科,医療法人社団翔友会,2005年(要確認),東京都港区港南2-5-3 オリックス品川ビル,0120-575-900,要確認,https://shinagawa-skin.com/,全国展開,美容皮膚科,営業中,品川グループ
163,ルラ美容クリニック,美容クリニック,ルラ美容クリニック(LULA),2021年(要確認),東京都渋谷区道玄坂1-12-1 渋谷マークシティウェスト14F,要確認,要確認,https://www.lula-beauty.jp/,複数院,美容整形・美容皮膚科,営業中,都市部展開
164,アースホールディングス(EARTH),ヘアサロン,株式会社アースホールディングス,2007年6月,東京都渋谷区渋谷2-1-1 青山ファーストビル7F,03-5485-7331,0120-559-750,https://hairmake-earth.com/,全国約250店舗,美容室チェーン,営業中,Hair&Make EARTH
165,モッズ・ヘア,ヘアサロン,株式会社エム・エイチ・グループ,1986年(要確認),東京都渋谷区(要確認),要確認,要確認,https://mhgroup.co.jp/,全国展開,美容室(モッズ・ヘア),営業中,東証・FC展開
166,三省製薬(デルメッド),化粧品メーカー,三省製薬株式会社,1960年3月,福岡県大野城市(要確認),要確認,要確認,https://www.sansho-pharma.com/,本社+工場,成分開発・通販コスメ,営業中,美白成分開発
167,イミュ,化粧品メーカー,イミュ株式会社,要確認,東京都中央区銀座4-8-10,要確認,要確認,https://www.imju.jp/,本社,化粧品(dejavu/OPERA等),営業中,ピアスグループ
168,enherb(エンハーブ),アロマ・ハーブ,株式会社コネクト,要確認,東京都港区芝大門2-8-13 サクセス芝大門ビル7F,0120-184-802,要確認,https://www.enherb.jp/,全国店舗,ハーブ・アロマ専門店,営業中,サントリーグループ
169,ランクアップ(マナラ),D2Cコスメ,株式会社ランクアップ,2005年6月,東京都中央区銀座3-10-7 ヒューリック銀座三丁目ビル7F,要確認,要確認,https://rankuphd.jp/,本社,通販化粧品(マナラ等),営業中,D2C
170,エトヴォス(ETVOS),D2Cコスメ,株式会社エトヴォス,2007年(要確認),大阪府大阪市淀川区西中島6-1-1 新大阪プライムタワー12F,06-6306-0477,要確認,https://etvos.jp/,本社+青山,ミネラルコスメ・セラミド,営業中,D2C
171,TAT,ネイル卸・メーカー,株式会社TAT,1990年(要確認),兵庫県西宮市(要確認),0798-68-1273,要確認,https://www.nailtat.com/,本社+店舗,ネイル用品卸,営業中,ネイル卸大手
172,ネイルパートナー,ネイル卸,株式会社ネイルパートナー,要確認,東京都(要確認),要確認,要確認,https://www.nail-partner.com/,全国店舗,プロ向けネイル用品卸,営業中,ネイル卸
173,きくや美粧堂,理美容ディーラー,株式会社きくや美粧堂,1953年(要確認),東京都渋谷区恵比寿西1-13-7 KB's ARCH,03-3748-0200,要確認,https://www.kikuya-bisyodo.co.jp/,全国支店,美容商材卸・コンサル,営業中,美容ディーラー大手
174,ビーグレン(b.glen),D2Cコスメ,ビバリーグレンラボラトリーズ株式会社,2009年(日本法人),東京都渋谷区(要確認),要確認,要確認,https://www.bglen.net/,本社,サイエンススキンケア,営業中,米国発・通販
175,シロク(N organic),D2Cコスメ,株式会社シロク,2011年,東京都渋谷区(要確認),要確認,要確認,https://www.cyberagent.co.jp/,本社,D2Cコスメ(N organic),営業中,サイバーエージェント子会社
176,PALTAC,日用品・化粧品卸,株式会社PALTAC,1928年,大阪府大阪市中央区本町橋2-46,要確認,要確認,https://www.paltac.co.jp/,本社+全国,化粧品・日用品卸,営業中,東証プライム8283・卸最大手
177,サインド(BeautyMerit),IT・BeautyTech,株式会社サインド,2011年10月,東京都品川区西五反田8-4-13 五反田JPビル5F,03-6277-2658,要確認,https://www.b-merit.jp/,本社,サロン予約・アプリ,営業中,BeautyMerit
178,あらた,日用品・化粧品卸,株式会社あらた,2002年(要確認),東京都中央区(要確認),要確認,要確認,https://www.arata-gr.jp/,本社+全国,化粧品・日用品卸,営業中,卸大手・東証プライム2733
179,協和(フラコラ),D2Cコスメ・通販,株式会社協和,1960年,東京都新宿区西新宿1-22-2 新宿サンエービル9F,03-5326-8001,要確認,https://www.kyowa-group.co.jp/,本社,通販化粧品(フラコラ),営業中,コラーゲン通販
180,メンズクリア,メンズ脱毛サロン,株式会社クリア,2013年(法人2015),東京都新宿区西新宿7-16-13,要確認,要確認,https://mensclear.com/,全国展開,メンズ美容脱毛,営業中,メンズ脱毛大手
181,ヴィエリス,脱毛サロン運営,株式会社ヴィエリス,要確認,東京都渋谷区千駄ヶ谷2-1-8 Barbizon8 8F,03-6747-7977,要確認,https://vielis.co.jp/,全国展開,美容脱毛サロン運営,営業中,脱毛サロン運営
182,レイロール,メンズ脱毛サロン,株式会社スニーズ,要確認,東京都(要確認),要確認,要確認,https://rayrole.jp/,全国展開,メンズ脱毛,営業中,メンズ脱毛
183,ネイチャーズウェイ,オーガニックコスメメーカー,株式会社ネイチャーズウェイ,1989年(要確認),愛知県名古屋市中区錦1-2-23,052-232-1161,要確認,https://www.naturesway.co.jp/,本社+工場+東京支社,オーガニックコスメ製造,営業中,ナチュラグラッセ
184,シーボディ(SiBODY),化粧品・美容機器メーカー,株式会社シーボディ,2004年(要確認),東京都港区南青山5-4-30 南青山YSSビル6F,0120-777-723,要確認,https://www.sibody.co.jp/,本社,化粧品・美容機器,営業中,サロン向けも展開
185,エステプロ・ラボ,インナービューティ・エステ機器,株式会社プロラボホールディングス,2002年9月,東京都港区三田3-7-18 THE ITOYAMA TOWER 7F,03-6809-6237,要確認,https://prolabo.co.jp/,本社,酵素ドリンク・インナービューティ,営業中,サロン専売インナーケア
186,エルクリニック,美容皮膚科,医療法人社団友輝会,2001年,東京都中央区銀座5-5-1 マツモトキヨシ銀座5thビル4F,03-3575-7600,要確認,https://elcli.com/,銀座・新宿,美容皮膚科,営業中,美容皮膚科の先駆け
187,ヴェリテクリニック,美容クリニック,医療法人社団輝生会,2004年8月,東京都中央区銀座2-3-2 エイコー銀座ビル5F,03-6887-8250,要確認,https://www.veriteclinic.or.jp/,東京・名古屋・大阪,美容外科・美容整形,営業中,植毛にも強み
188,ドクターリセラ,エステ向け化粧品・美容機器,ドクターリセラ株式会社,2001年(要確認),大阪府大阪市東淀川区東中島1-7-17 リセラビル,06-6990-4700,要確認,https://www.dr-recella.com/,本社,サロン専売化粧品・美容機器,営業中,エステサロン専売トップシェア
189,マードゥレクス(エクスボーテ),化粧品メーカー,株式会社マードゥレクス,2004年4月,東京都渋谷区神宮前6-17-11 JPR原宿ビル6F,03-5467-8431,要確認,https://www.madrex.co.jp/,本社,化粧品(エクスボーテ等),営業中,VC×100等
190,山田養蜂場,化粧品・健康食品メーカー,株式会社山田養蜂場,1948年(創業),岡山県苫田郡鏡野町市場194,要確認,要確認,https://www.3838.com/,本社,はちみつ化粧品・健康食品,営業中,通販大手
191,インセント,アロマメーカー・卸,株式会社インセント,2002年12月,長野県長野市北石堂町1182 ベイユビル5F,026-223-1177,要確認,https://www.inscent.co.jp/,本社,精油・アロマ製造卸,営業中,アロマ専門
192,ACRO,化粧品メーカー,株式会社ACRO,2009年(要確認),東京都目黒区(要確認),要確認,要確認,https://acro-inc.co.jp/,本社,化粧品(THREE/FIVEISM等),営業中,ブランドコスメ
193,ネイルラボ,ネイル機器・用品メーカー,株式会社ネイルラボ,1988年9月,東京都渋谷区神宮前6-28-9 東武ビル4F,要確認,要確認,https://www.naillabo.com/,本社,プロ向けネイル機器・用品,営業中,ネイルケアマシン
194,シーオーメディカル,通販化粧品,株式会社シーオーメディカル,2006年(要確認),東京都新宿区西新宿6-2-16 菅野ビル,要確認,要確認,https://www.co-medical.jp/,本社,化粧品・インナー通販,営業中,COホールディングス
195,ハイム化粧品,化粧品メーカー,ハイム化粧品株式会社,要確認,千葉県松戸市上本郷289-3,0120-567-816,要確認,https://www.heim-cosmetic.com/,本社,スキンケア化粧品,営業中,通販化粧品
196,GENOVA,IT・BeautyTech(医療),株式会社GENOVA,2006年(要確認),東京都渋谷区渋谷2-21-1,要確認,要確認,https://genova.co.jp/,本社,医療DX・メディカルプラットフォーム,営業中,東証プライム9341
197,ジュポン化粧品,化粧品メーカー(サロン専売),ジュポン化粧品株式会社,1976年,愛知県名古屋市(要確認),要確認,要確認,https://www.jupon-cosme.co.jp/,本社,美容室専売・自然派化粧品,営業中,水溶性ファンデ
198,シェルゥーム,化粧品メーカー,株式会社シェルゥーム,要確認,東京都町田市鶴間5-6-22,0120-0870-41,要確認,https://www.shellwomb.jp/,本社,国産ボタニカル化粧品,営業中,アルファピニ28
199,シャンソン化粧品,化粧品メーカー(サロン向け・OEM),株式会社シャンソン化粧品,1946年2月,静岡県静岡市駿河区国吉田2-5-10,054-261-8181,要確認,https://www.chanson.co.jp/,本社,サロン向け化粧品・OEM,営業中,サロンクオリティ
200,ZIGEN,メンズコスメメーカー,ZIGEN株式会社,2015年7月,福岡県福岡市中央区警固2-18-13 警固ガーデンプレイス701,092-791-5215,要確認,https://www.zigen-shop.com/,本社,メンズオールインワン等,営業中,メンズコスメ
